service,name,longitude,latitude,location_type,file_path,5m_area,5m_total_pop,5m_reachfactor,10m_area,10m_total_pop,10m_reachfactor,15m_area,15m_total_pop,15m_reachfactor,20m_area,20m_total_pop,20m_reachfactor,25m_area,25m_total_pop,25m_reachfactor,30m_area,30m_total_pop,30m_reachfactor
Bath and North East Somerset Council,Moorland Road Community Library,-2.3798061,51.3779152,destination,360261.12,3996.0,1.0,1500264.21,10273.0,1.0,3398927.25,20256.0,1.0,5976505.28,31642.0,1.0,9237533.96,45670.0,1.0,13435368.93,57932.0,1.0
Bath and North East Somerset Council,Paulton Library @ The Hub,-2.5018918,51.3068011,destination,348545.73,1462.0,0.9985,1462837.74,4562.0,1.0,3295438.19,5225.0,1.0,5698946.18,5535.0,1.0,8972145.49,6920.0,1.0,13651598.75,10588.0,1.0
Bath and North East Somerset Council,Peasedown St. John Community Library,-2.4319794,51.3125163,destination,325646.97,838.0,0.9329,1303854.98,2874.0,0.9338,3113658.46,4762.0,0.9911,5664635.78,6642.0,1.0,9096127.92,7290.0,1.0,12876875.9,9192.0,1.0
Bath and North East Somerset Council,Radstock Community Hub,-2.4475402,51.2911916,destination,347380.87,624.0,0.9952,1430581.07,2707.0,1.0,3454279.18,5691.0,1.0,5826702.05,8904.0,1.0,8923270.68,10629.0,1.0,12937430.72,12843.0,1.0
Bath and North East Somerset Council,Saltford Community Library & Post Office,-2.4584527,51.4020107,destination,358677.0,1241.0,1.0,1337373.22,3235.0,0.9578,2513609.85,3980.0,0.8001,4205768.06,4097.0,0.753,6004810.64,4379.0,0.6881,8843673.48,6624.0,0.7038
Bath and North East Somerset Council,Timsbury Community Library,-2.4730966,51.3276169,destination,335141.76,886.0,0.9601,1483975.44,2059.0,1.0,3147152.57,2570.0,1.0,5574653.88,2845.0,0.9981,8470681.46,3213.0,0.9707,12082929.13,3999.0,0.9615
Bedford Borough Council,Bedford Central Library,-0.468231,52.136301,destination,373903.19,1207.0,1.0,1653061.51,8557.0,1.0,3684701.67,18844.0,1.0,6677236.74,36073.0,1.0,10218727.4,47491.0,1.0,14826127.87,59259.0,1.0
Bedford Borough Council,Bromham Library,-0.533588,52.149693,destination,181913.13,510.0,0.5211,1056410.52,1893.0,0.7566,2089240.02,4312.0,0.665,3682059.15,5043.0,0.6593,5354449.63,5112.0,0.6136,7170516.74,5553.0,0.5706
Bedford Borough Council,Kempston Library,-0.493452,52.121107,destination,178225.48,813.0,0.5106,988808.09,5058.0,0.7082,2452662.37,13046.0,0.7807,3939595.97,18706.0,0.7054,6225606.8,22890.0,0.7134,9811349.47,32521.0,0.7808
Bedford Borough Council,Putnoe Library,-0.440837,52.154873,destination,379206.63,1595.0,1.0,1538759.98,6221.0,1.0,3305157.94,12189.0,1.0,5620816.77,20451.0,1.0,8787954.07,30355.0,1.0,12582378.91,39440.0,1.0
Bedford Borough Council,Wootton Library,-0.52901,52.098754,destination,303347.66,1101.0,0.869,1310976.93,3213.0,0.9389,3095273.34,4096.0,0.9853,5298788.21,4547.0,0.9487,7784780.46,5082.0,0.8921,10754098.02,6147.0,0.8558
Birmingham City Council,Acocks Green Library,-1.8240162,52.4456665,destination,391315.99,2054.0,1.0,1517090.38,9243.0,1.0,3456167.13,21404.0,1.0,6063614.26,35713.0,1.0,9490393.08,53490.0,1.0,13595747.79,74079.0,1.0
Birmingham City Council,Aston Library,-1.893691,52.505087,destination,326695.5,4050.0,0.9359,1312827.12,14126.0,0.9402,2990054.14,27930.0,0.9518,5479289.36,43381.0,0.9811,8870561.14,58704.0,1.0,13114539.96,75266.0,1.0
Birmingham City Council,Balsall Heath Library,-1.8857787,52.4577525,destination,368376.6,2584.0,1.0,1578055.37,13558.0,1.0,3583392.32,30693.0,1.0,6369922.07,51202.0,1.0,9989152.24,73592.0,1.0,14321633.91,92895.0,1.0
